,Sampling1,Sampling2,Sampling3,Sampling4,Sampling5
M1,0.7835051546391752,0.9381443298969072,0.875,0.9690721649484536,0.9278350515463918
M2,0.9587628865979382,0.9587628865979382,0.9791666666666666,0.979381443298969,0.9896907216494846
M3,1.0,1.0,1.0,1.0,1.0
M4,0.9690721649484536,0.9072164948453608,0.9583333333333334,0.9896907216494846,0.9278350515463918
M5,0.8247422680412371,0.6494845360824743,0.7291666666666666,1.0,0.7422680412371134
